Sales Report for Hopin Express,,,,,,,,,,
Report for 3 Months Commencing Wednesday 1st October 2025,,,,,,,,,,
,,,,,,,,,,
All Wholesalers,1414 Products Sold for Wholesaler,,,,,,,,,
Alcohol,196 Products Sold in Category,,,,,,,,,
Alcohol Beer,38 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
4018077773334,,Lorenz Crunchips Xcut Sa,20.00%,1.25,6,7.38,1.23,4.2,1.95,31.80%
5010052112861,,Midland Snacks Scratchin,0.00%,1.65,5,5.95,0,3.85,2.1,35.20%
8901719101144,,Parle G gold,0.00%,0.39-0.49,11,4.19,0,2.67,1.52,36.20%
8901719902512,,Parle Krackjack 60G 4Pk,0.00%,0.99,11,10.89,0,2.06,8.83,81.10%
8901719103032,,Parle Krackjack Crackers Sweet,0.00%,0.99,2,1.98,0,1.5,0.48,24.20%
8904067702599,,Peanuts Black Pepper,20.00%,1.89,8,14.84,2.47,9.2,3.17,25.60%
8906019564170,,Real Aloo Sev,0.00%,1.59,8,12.27,0,9.6,2.67,21.80%
8906019564163,,Real Sing Bhujiya,0.00%,1.69,8,13.52,0,10.2,3.32,24.60%
8906019564262,,Real Tikha Chiwda,0.00%,1.59,9,14.01,0,10.8,3.21,22.90%
5018297011529,,Takis Fuego Corn Chips,20.00%,3.99,6,23.94,3.99,14.64,5.31,26.60%
5017689002084,,Trs Almonds 100G,0.00%,1.59,4,6.36,0,4.53,1.83,28.70%
5017689009724,,Trs Almonds 375G,0.00%,4.79,1,4.79,0,3.57,1.22,25.50%
5017689009427,,Trs Cashew Kernels 100G,20.00%,1.69,2,3.38,0.56,2.04,0.78,27.60%
5017689100902,,Trs Cashew Kernels 750G,0.00%,8.99,1,8.99,0,6.83,2.16,24.00%
5017689010188,,Trs Pistachio Kernels 100G,0.00%,3.99,1,3.99,0,2.96,1.03,25.70%
5017689027254,,Trs Red Peanuts 375G,20.00%,2.39,2,4.78,0.8,3.04,0.94,23.70%
